PLZ,Ort,Bundesland,gültig ab,gültig bis,NamePLZTyp,intern_extern,adressierbar,Postfach
6347,Rettenschöss,T,01.12.2013,,PLZ-Adressierung,extern,Ja,Nein
6351,Scheffau am Wilden Kaiser,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6352,Ellmau,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6353,Going am Wilden Kaiser,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6361,Hopfgarten,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6362,Kelchsau,T,01.10.2010,,PLZ-Postfach,extern,Nein,Ja
6363,Westendorf,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6364,Brixen im Thale,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6365,Kirchberg in Tirol,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6370,Kitzbühel,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6371,Aurach,T,01.07.2009,,PLZ-Adressierung,extern,Ja,Nein
6372,Oberndorf in Tirol,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6373,Jochberg,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6380,St. Johann in Tirol,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6382,Kirchdorf in Tirol,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6383,Erpfendorf,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6384,Waidring,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6385,Schwendt,T,01.11.2008,,PLZ-Adressierung,extern,Ja,Nein
6391,Fieberbrunn,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6392,St. Jakob in Haus,T,09.10.2008,,PLZ-Adressierung,extern,Ja,Nein
6393,St. Ulrich am Pillersee,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6395,Hochfilzen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6401,Inzing,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6402,Hatting,T,01.01.2005,,PLZ-Adressierung,extern,Ja,Nein
6403,Flaurling,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6404,Polling,T,01.06.2008,,PLZ-Adressierung,extern,Ja,Nein
6405,Pfaffenhofen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6406,Oberhofen im Inntal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6408,Pettnau,T,01.01.2007,,PLZ-Adressierung,extern,Ja,Nein
6410,Telfs,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6412,Telfs-St. Georgen,T,01.01.1966,,PLZ-Postfach,extern,Nein,Ja
6413,Wildermieming,T,01.12.2013,,PLZ-Adressierung,extern,Ja,Nein
6414,Mieming,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6416,Obsteig,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6421,Rietz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6422,Stams,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6423,Mötz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6424,Silz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6425,Haiming,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6426,Roppen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6430,Ötztal Bahnhof,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6432,Sautens,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6433,Oetz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6441,Umhausen,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6444,Längenfeld,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6450,Sölden,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6452,Hochsölden,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6456,Obergurgl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6458,Vent,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6460,Imst,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6462,Karres,T,01.09.2008,,PLZ-Adressierung,extern,Ja,Nein
6463,Karrösten,T,01.09.2012,,PLZ-Adressierung,extern,Ja,Nein
6464,Tarrenz,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6465,Nassereith,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6471,Arzl,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6473,Wenns,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6474,Jerzens,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6481,St. Leonhard im Pitztal,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6491,Schönwies,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
6492,Imsterberg,T,01.01.2009,,PLZ-Adressierung,extern,Ja,Nein
6493,Mils,T,01.07.2009,,PLZ-Adressierung,extern,Ja,Nein
6500,Landeck,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6511,Zams,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Ja
6521,Fließ,T,01.01.1966,,PLZ-Adressierung,extern,Ja,Nein
